brand_code,brand_name,brand_type
DELAR,Delar Foods,own_or_distributor
CUSTOM,Custom Culinary,manufacturer_brand
LAPOCIMA,La Pócima,manufacturer_brand
CULINAIRE,Culinaire / Ventura Foods,manufacturer_brand
INUSA,INUSA,manufacturer_brand
INGREDION,Ingredion,manufacturer_brand
DOCTORHOT,Doctor Hot,manufacturer_brand
